X,Y
-229000.0,-1799500.0
-228500.0,-1799500.0
-228000.0,-1799500.0
-227500.0,-1799500.0
-227000.0,-1799500.0
-226500.0,-1799500.0
-226000.0,-1799500.0
-225500.0,-1799500.0
-225000.0,-1799500.0
-224500.0,-1799500.0
-224000.0,-1799500.0
-223500.0,-1799500.0
-223000.0,-1799500.0
-222500.0,-1799500.0
-222000.0,-1799500.0
-221500.0,-1799500.0
-221000.0,-1799500.0
-220500.0,-1799500.0
-220000.0,-1799500.0
-219500.0,-1799500.0
-219000.0,-1799500.0
-218500.0,-1799500.0
-218000.0,-1799500.0
-217500.0,-1799500.0
-217000.0,-1799500.0
-216500.0,-1799500.0
-216000.0,-1799500.0
-215500.0,-1799500.0
-215000.0,-1799500.0
-214500.0,-1799500.0
-214000.0,-1799500.0
-213500.0,-1799500.0
-213000.0,-1799500.0
-212500.0,-1799500.0
-212000.0,-1799500.0
-211500.0,-1799500.0
-211000.0,-1799500.0
-210500.0,-1799500.0
-210000.0,-1799500.0
-209500.0,-1799500.0
-209000.0,-1799500.0
-208500.0,-1799500.0
-208000.0,-1799500.0
-207500.0,-1799500.0
-207000.0,-1799500.0
-206500.0,-1799500.0
-206000.0,-1799500.0
-205500.0,-1799500.0
-205000.0,-1799500.0
-204500.0,-1799500.0
-204000.0,-1799500.0
-203500.0,-1799500.0
-203000.0,-1799500.0
-202500.0,-1799500.0
-202000.0,-1799500.0
-201500.0,-1799500.0
